{'start': 0.979, 'duration': 5.141, 'text': 'с подключением Удивительно как быстро'}
{'start': 4.08, 'duration': 3.96, 'text': 'Нашлись такой весь контркультурный'}
{'start': 6.12, 'duration': 4.38, 'text': 'интернет стал неотличим от выложенной'}
{'start': 8.04, 'duration': 4.26, 'text': 'мейнстримной поп-культуры пользователи С'}
{'start': 10.5, 'duration': 4.08, 'text': 'большой любовью еще больше ненавистью'}
{'start': 12.3, 'duration': 4.5, 'text': 'когда-то наполняли цифровую Пустошь'}
{'start': 14.58, 'duration': 4.92, 'text': 'близкими для себя смыслом которых просто'}
{'start': 16.8, 'duration': 4.92, 'text': 'Не находили в окружающем инфошуме все'}
{'start': 19.5, 'duration': 4.439, 'text': 'это поменялось А ты скорее всего этого'}
{'start': 21.72, 'duration': 5.04, 'text': 'даже не заметил кто теперь решает что в'}
{'start': 23.939, 'duration': 5.1, 'text': 'тренде А что как так получилось и кому'}
{'start': 26.76, 'duration': 4.48, 'text': 'собственно принадлежит Интернет сегодня'}
{'start': 29.039, 'duration': 4.04, 'text': 'сейчас поехали'}
{'start': 31.24, 'duration': 4.52, 'text': '[музыка]'}
{'start': 33.079, 'duration': 4.361, 'text': 'а если корпорация замечают что'}
{'start': 35.76, 'duration': 3.26, 'text': 'кто-нибудь что-нибудь очень любит они'}
{'start': 37.44, 'duration': 4.139, 'text': 'немедленно пытаются это монетизировать'}
{'start': 39.02, 'duration': 4.359, 'text': 'инклюэсеры и блогеры зарабатывает деньги'}
{'start': 41.579, 'duration': 3.841, 'text': 'на создание будущих видосов размещая'}
{'start': 43.379, 'duration': 3.961, 'text': 'рекламу сегодняшних иногда они просто'}
{'start': 45.42, 'duration': 4.319, 'text': 'добавляют в ролик рекламную ставочку'}
{'start': 47.34, 'duration': 4.199, 'text': 'интегражку на то о чем и как они'}
{'start': 49.739, 'duration': 3.84, 'text': 'рассказывают реклама не влияет а иногда'}
{'start': 51.539, 'duration': 3.741, 'text': 'Ну когда ты знаешь что в рекламе нет'}
{'start': 53.579, 'duration': 4.561, 'text': 'ролика весь ролик значит реклама Да'}
{'start': 55.28, 'duration': 4.36, 'text': 'простой пример корпорация imo приемник'}
{'start': 58.14, 'duration': 3.12, 'text': 'бесплодных автомобилей которые хочешь'}
{'start': 59.64, 'duration': 3.78, 'text': 'чтобы все думали что беспилотные'}
{'start': 61.26, 'duration': 3.84, 'text': 'автомобили это безопасно классно и'}
{'start': 63.42, 'duration': 4.08, 'text': 'полезно но есть вариант поделиться этим'}
{'start': 65.1, 'duration': 4.08, 'text': 'журналистами попытаться их убедить но'}
{'start': 67.5, 'duration': 3.6, 'text': 'она делает проще просто покупая себе'}
{'start': 69.18, 'duration': 3.92, 'text': 'пачку этих на блогеров и вот пять'}
{'start': 71.1, 'duration': 4.5, 'text': 'каналов публикуют видео о безопасности'}
{'start': 73.1, 'duration': 3.9, 'text': 'беспилотников часть каналов помечает'}
{'start': 75.6, 'duration': 4.32, 'text': 'рекламу хэштегом'}
{'start': 77.0, 'duration': 6.34, 'text': 'А в случае канала с 13 подписчиков'}
{'start': 79.92, 'duration': 4.739, 'text': 'почему-то этого не делают эти ролики не'}
{'start': 83.34, 'duration': 5.3, 'text': 'отличаются от обычных выпусков блогеров'}
{'start': 84.659, 'duration': 6.361, 'text': 'которые их подписчики знают любят но это'}
{'start': 88.64, 'duration': 5.44, 'text': 'фальшивкары делятся только одной точкой'}
{'start': 91.02, 'duration': 4.739, 'text': 'зрения Ну и что продвигает твоему у них'}
{'start': 94.08, 'duration': 3.899, 'text': 'только один источник данных статистика'}
{'start': 95.759, 'duration': 4.561, 'text': 'от Корпорации и проплаченные'}
{'start': 97.979, 'duration': 4.441, 'text': 'исследования спонсорские видео косят под'}
{'start': 100.32, 'duration': 4.259, 'text': 'объективную истину Ну конечно же и не'}
{'start': 102.42, 'duration': 4.8, 'text': 'является Более сложный пример наверняка'}
{'start': 104.579, 'duration': 4.4, 'text': 'Знакомы Тебе Джонни Харрис экс-журналист'}
{'start': 107.22, 'duration': 3.84, 'text': 'Вайс выступает на Ютубе как Независимый'}
{'start': 108.979, 'duration': 3.64, 'text': 'журналюга по крайней мере он так себя'}
{'start': 111.06, 'duration': 3.12, 'text': 'называет у него на канале появляется'}
{'start': 112.619, 'duration': 3.901, 'text': 'выпуск как Китай стал таким'}
{'start': 114.18, 'duration': 3.899, 'text': 'могущественным на середине видео кариес'}
{'start': 116.52, 'duration': 2.76, 'text': 'внезапно начинает рассказывать что мы'}
{'start': 118.079, 'duration': 4.5, 'text': 'пользуемся устаревшей версией'}
{'start': 119.28, 'duration': 5.82, 'text': 'капитализма и нужно обновиться Да'}
{'start': 122.579, 'duration': 4.921, 'text': 'капитализма Да капитализма стейк'}
{'start': 125.1, 'duration': 4.139, 'text': 'холдеров это когда типа бизнес озабочен'}
{'start': 127.5, 'duration': 4.14, 'text': 'не только повышением прибыли но и'}
{'start': 129.239, 'duration': 4.86, 'text': 'улучшением жизни окружающих Ну конечно'}
{'start': 131.64, 'duration': 4.319, 'text': 'Да конечно человек может верить вообще у'}
{'start': 134.099, 'duration': 3.36, 'text': 'вас всё что угодно Даже в килонолон но'}
{'start': 135.959, 'duration': 4.461, 'text': 'на последней минуте видео Харрис'}
{'start': 137.459, 'duration': 5.221, 'text': 'сообщает что партнёр ролика экономика'}
{'start': 140.42, 'duration': 4.539, 'text': 'Всемирный экономический форум Да ты всё'}
{'start': 142.68, 'duration': 4.5, 'text': 'правильно понял Это тебе не те курсы'}
{'start': 144.959, 'duration': 4.261, 'text': 'ежегодно тусовка где политики бизнесмен'}
{'start': 147.18, 'duration': 5.58, 'text': 'собирается для Беседы о том как изменить'}
{'start': 149.22, 'duration': 6.36, 'text': 'мир спонсоры формы глобальной корпорации'}
{'start': 152.76, 'duration': 4.92, 'text': 'был Amazon Google coca-colate Martin'}
{'start': 155.58, 'duration': 3.96, 'text': 'разработчики и производители оружия то и'}
{'start': 157.68, 'duration': 3.96, 'text': 'военной техники Spider тоже Вычисли'}
{'start': 159.54, 'duration': 4.559, 'text': 'ребята которые зажали рецепт вакцины от'}
{'start': 161.64, 'duration': 4.44, 'text': 'ковида Ну что вы больше заработать вот'}
{'start': 164.099, 'duration': 5.78, 'text': 'такие люди собираются И думают как же'}
{'start': 166.08, 'duration': 6.36, 'text': 'улучшить мир в общем произошел немножко'}
{'start': 169.879, 'duration': 4.661, 'text': 'капитализм стейкхолдеров это ребрендинг'}
{'start': 172.44, 'duration': 3.72, 'text': 'в добрые капитализм видео Харриса'}
{'start': 174.54, 'duration': 4.02, 'text': 'попытка в корпорации Дотянуться до'}
{'start': 176.16, 'duration': 4.439, 'text': 'молодых зрителей сказать им крутые и'}
{'start': 178.56, 'duration': 2.899, 'text': 'хотим добра а независимые и ты журналист'}
{'start': 180.599, 'duration': 3.36, 'text': 'оказался'}
{'start': 181.459, 'duration': 4.441, 'text': 'независимым Правда чтобы это понять'}
{'start': 183.959, 'duration': 3.961, 'text': 'придётся досмотреть моё видео до конца'}
{'start': 185.9, 'duration': 4.479, 'text': 'отечественные блогеры действуют гораздо'}
{'start': 187.92, 'duration': 4.56, 'text': 'Откровение это всё прекрасно знаешь если'}
{'start': 190.379, 'duration': 4.86, 'text': 'ролик разлили нефти на Рижский то'}
{'start': 192.48, 'duration': 4.74, 'text': 'виноват будет вечная мерзлота и вместе'}
{'start': 195.239, 'duration': 5.601, 'text': 'получится 17-минутный видос рекламы'}
{'start': 197.22, 'duration': 6.48, 'text': 'нефтянки если впереди выборы мы Москвы'}
{'start': 200.84, 'duration': 5.819, 'text': 'Горького или исторично wi-fi с тегом'}
{'start': 203.7, 'duration': 2.959, 'text': 'мерседом'}
{'start': 208.58, 'duration': 4.96, 'text': 'целые страны на площадке полно милых'}
{'start': 211.379, 'duration': 4.561, 'text': 'девчонок из Китая пожалуй до самой'}
{'start': 213.54, 'duration': 4.32, 'text': 'симпатичные орудия пропаганды Эван'}
{'start': 215.94, 'duration': 5.879, 'text': 'например блогер с Ником'}
{'start': 217.86, 'duration': 6.0, 'text': 'Хуна Зацените мой китайский Да уйгурская'}
{'start': 221.819, 'duration': 4.081, 'text': 'девушка из циндиана которая делится'}
{'start': 223.86, 'duration': 4.56, 'text': 'своей жизнью вот уйгурская свадьба вот'}
{'start': 225.9, 'duration': 5.04, 'text': 'база вот мы делаем маме сюрприз все'}
